endpoint,min_input,max_input,cycles,time
client,32,8192,5683856,2193
server,32,8192,5880924,2267
client,32,8192,7387457,2850
server,32,8192,5797948,2237
client,32,8192,5440114,2098
server,32,8192,5084873,1962
client,32,8192,5847215,2255
server,32,8192,5966493,2302
client,32,8192,6096143,2352
server,32,8192,5235267,2019
client,32,8192,5411591,2087
server,32,8192,5113396,1973
client,32,8192,6010574,2319
server,32,8192,8634690,3330
client,32,8192,8912141,3437
server,32,8192,9010675,3476
client,32,8192,8940664,3448
server,32,8192,5673484,2189
client,32,8192,5691635,2196
server,32,8192,6461756,2493
client,32,8192,5782390,2231
server,32,8192,5336394,2060
client,32,8192,6842927,2639
server,32,8192,8320937,3211
client,32,8192,7086669,2733
server,32,8192,5141919,1984
client,32,8192,5326022,2055
server,32,8192,5427149,2094
client,32,8192,5909447,2279
server,32,8192,5157477,1990
client,32,8192,4937072,1905
server,32,8192,5528276,2132
client,32,8192,5686449,2194
server,32,8192,5178221,1998
client,32,8192,5419370,2090
server,32,8192,7815302,3014
client,32,8192,6189491,2389
server,32,8192,5621624,2169
client,32,8192,5925005,2286
server,32,8192,4872247,1880
client,32,8192,5253418,2027
server,32,8192,5313057,2049
client,32,8192,5336394,2058
server,32,8192,4965595,1917
client,32,8192,5574950,2150
server,32,8192,5372696,2074
client,32,8192,5375289,2074
server,32,8192,5406405,2085
client,32,8192,6531767,2519
server,32,8192,10089363,3891
client,32,8192,9809319,3784
server,32,8192,10224199,3944
client,32,8192,10395337,4011
server,32,8192,5248232,2025
client,32,8192,5769425,2225
server,32,8192,5380475,2075
client,32,8192,5538648,2137
server,32,8192,9718564,3748
client,32,8192,12469737,4810
server,32,8192,8593202,3316
client,32,8192,9651146,3722
server,32,8192,9415183,3632
client,32,8192,8982152,3464
server,32,8192,10462755,4035
client,32,8192,9212929,3553
server,32,8192,9189592,3546
client,32,8192,10553510,4072
server,32,8192,5411591,2089
client,32,8192,5582729,2153
server,32,8192,4835945,1866
client,32,8192,5878331,2267
server,32,8192,5414184,2089
client,32,8192,5489381,2118
server,32,8192,5281941,2038
client,32,8192,6433233,2482
server,32,8192,5585322,2154
client,32,8192,5657926,2182
server,32,8192,5458265,2106
client,32,8192,5421963,2092
server,32,8192,5341580,2060
client,32,8192,5572357,2150
server,32,8192,5759053,2221
client,32,8192,5561985,2146
server,32,8192,5406405,2086
client,32,8192,6490279,2503
server,32,8192,9269975,3575
client,32,8192,8603574,3317
server,32,8192,5647554,2178
client,32,8192,7882720,3040
server,32,8192,5455672,2106
client,32,8192,8025335,3108
server,32,8192,6039097,2330
client,32,8192,5351952,2065
server,32,8192,5696821,2198
client,32,8192,4641470,1790
server,32,8192,5294906,2042
client,32,8192,5232674,2018
server,32,8192,5432335,2095
client,32,8192,6135038,2366
server,32,8192,9972678,3847
client,32,8192,9671890,3731
server,32,8192,8619132,3325
client,32,8192,9946748,3836
server,32,8192,5292313,2043
client,32,8192,5639775,2175
server,32,8192,10353849,3993
client,32,8192,9140325,3526
server,32,8192,10242350,3950
client,32,8192,10182711,3928
server,32,8192,8976966,3463
client,32,8192,8764340,3380
server,32,8192,9435927,3639
client,32,8192,8616539,3323
server,32,8192,10945053,4222
client,32,8192,9900074,3819
server,32,8192,9798947,3779
client,32,8192,10089363,3892
server,32,8192,9072907,3499
client,32,8192,9926004,3827
server,32,8192,8442808,3258
client,32,8192,8191287,3160
server,32,8192,5808320,2241
client,32,8192,6096143,2352
server,32,8192,6015760,2321
client,32,8192,5302685,2045
server,32,8192,5663112,2184
client,32,8192,5497160,2121
server,32,8192,5053757,1949
client,32,8192,6936275,2675
server,32,8192,5512718,2127
client,32,8192,5899075,2276
server,32,8192,8416878,3247
client,32,8192,9124767,3519
server,32,8192,9632995,3716
client,32,8192,9192185,3546
server,32,8192,9959713,3841
client,32,8192,8580237,3310
server,32,8192,8733224,3369
client,32,8192,9002896,3472
server,32,8192,5292313,2041
client,32,8192,5634589,2173
server,32,8192,5118582,1975
client,32,8192,5616438,2167
server,32,8192,5533462,2134
client,32,8192,6402117,2470
server,32,8192,5600880,2161
client,32,8192,5670891,2188
server,32,8192,5250825,2026
client,32,8192,5849808,2256
server,32,8192,5634589,2172
client,32,8192,7068518,2726
server,32,8192,10097142,3894
client,32,8192,9819691,3788
server,32,8192,8979559,3464
client,32,8192,8769526,3382
server,32,8192,9526682,3675
client,32,8192,9977864,3848
server,32,8192,5333801,2058
client,32,8192,5336394,2059
server,32,8192,8154985,3147
client,32,8192,8717666,3363
server,32,8192,5782390,2230
client,32,8192,6215421,2397
server,32,8192,5250825,2025
client,32,8192,5971679,2304
server,32,8192,5204151,2007
client,32,8192,6109108,2357
server,32,8192,5408998,2086
client,32,8192,5554206,2143
server,32,8192,9324428,3597
client,32,8192,8562086,3302
server,32,8192,9194778,3548
