endpoint,operation,data_size,cycles,time
client,decrypt,56,18151,7
client,encrypt,56,15558,5
server,decrypt,56,15558,6
server,encrypt,56,18151,7
client,decrypt,56,25930,9
client,encrypt,56,15558,5
server,decrypt,56,18151,6
server,encrypt,56,12965,5
client,decrypt,56,18151,6
client,encrypt,56,15558,5
server,decrypt,56,119278,46
server,encrypt,56,12965,5
client,decrypt,56,15558,5
client,encrypt,56,12965,5
server,decrypt,56,15558,5
server,encrypt,56,15558,5
client,decrypt,56,15558,5
client,encrypt,56,15558,5
server,decrypt,56,18151,6
server,encrypt,56,12965,5
client,decrypt,56,18151,6
client,encrypt,56,15558,5
server,decrypt,56,15558,6
server,encrypt,56,15558,5
client,decrypt,56,15558,5
client,encrypt,56,15558,5
server,decrypt,56,15558,6
server,encrypt,56,15558,5
client,decrypt,56,12965,5
client,encrypt,56,15558,5
server,decrypt,56,15558,5
server,encrypt,56,15558,5
client,decrypt,56,15558,5
client,encrypt,56,12965,5
server,decrypt,56,15558,5
server,encrypt,56,106313,41
client,decrypt,56,15558,5
client,encrypt,56,12965,5
server,decrypt,56,15558,6
server,encrypt,56,12965,5
client,decrypt,56,15558,5
client,encrypt,56,15558,5
server,decrypt,56,15558,5
server,encrypt,56,18151,6
client,decrypt,56,15558,6
client,encrypt,56,12965,6
server,decrypt,56,15558,5
server,encrypt,56,15558,5
client,decrypt,56,15558,6
client,encrypt,56,15558,5
server,decrypt,56,18151,5
server,encrypt,56,15558,5
client,decrypt,56,18151,6
client,encrypt,56,15558,5
server,decrypt,56,160766,60
server,encrypt,56,15558,6
client,decrypt,56,18151,6
client,encrypt,56,12965,6
server,decrypt,56,15558,6
server,encrypt,56,12965,5
client,decrypt,56,15558,6
client,encrypt,56,12965,5
server,decrypt,56,15558,5
server,encrypt,56,12965,5
client,decrypt,56,15558,5
client,encrypt,56,12965,5
server,decrypt,56,12965,5
server,encrypt,56,15558,5
client,decrypt,56,15558,5
client,encrypt,56,12965,5
server,decrypt,56,12965,5
server,encrypt,56,12965,5
client,decrypt,56,15558,5
client,encrypt,56,12965,5
server,decrypt,56,15558,5
server,encrypt,56,15558,5
client,decrypt,56,15558,5
client,encrypt,56,12965,5
server,decrypt,56,12965,5
server,encrypt,56,15558,5
client,decrypt,56,12965,5
client,encrypt,56,12965,5
server,decrypt,56,12965,5
server,encrypt,56,12965,5
client,decrypt,56,12965,5
client,encrypt,56,12965,5
server,decrypt,56,18151,6
server,encrypt,56,12965,5
client,decrypt,56,23337,9
client,encrypt,56,15558,6
server,decrypt,56,20744,7
server,encrypt,56,15558,5
client,decrypt,56,18151,6
client,encrypt,56,12965,5
server,decrypt,56,18151,6
server,encrypt,56,15558,5
client,decrypt,56,15558,6
client,encrypt,56,12965,5
server,decrypt,56,15558,5
server,encrypt,56,12965,5
client,decrypt,56,12965,5
client,encrypt,56,12965,5
server,decrypt,56,12965,5
server,encrypt,56,12965,5
client,decrypt,56,15558,5
client,encrypt,56,12965,5
server,decrypt,56,15558,5
server,encrypt,56,15558,5
client,decrypt,56,15558,5
client,encrypt,56,10372,5
server,decrypt,56,12965,6
server,encrypt,56,15558,5
client,decrypt,56,15558,5
client,encrypt,56,12965,5
server,decrypt,56,15558,5
server,encrypt,56,15558,5
client,decrypt,56,18151,6
client,encrypt,56,12965,4
server,decrypt,56,18151,6
server,encrypt,56,38895,14
client,decrypt,56,18151,6
client,encrypt,56,12965,4
server,decrypt,56,15558,5
server,encrypt,56,15558,5
client,decrypt,56,12965,5
client,encrypt,56,12965,5
server,decrypt,56,15558,5
server,encrypt,56,12965,5
client,decrypt,56,15558,5
client,encrypt,56,12965,5
server,decrypt,56,15558,5
server,encrypt,56,12965,5
client,decrypt,56,12965,5
client,encrypt,56,12965,5
server,decrypt,56,12965,5
server,encrypt,56,12965,4
client,decrypt,56,15558,5
client,encrypt,56,10372,5
server,decrypt,56,15558,5
server,encrypt,56,15558,5
client,decrypt,56,23337,7
client,encrypt,56,15558,5
server,decrypt,56,18151,6
server,encrypt,56,15558,5
client,decrypt,56,15558,5
client,encrypt,56,12965,5
server,decrypt,56,15558,5
server,encrypt,56,15558,5
client,decrypt,56,15558,5
client,encrypt,56,15558,5
server,decrypt,56,12965,6
server,encrypt,56,15558,5
client,decrypt,56,15558,5
client,encrypt,56,12965,5
server,decrypt,56,12965,5
server,encrypt,56,15558,5
client,decrypt,56,15558,5
client,encrypt,56,12965,5
server,decrypt,56,70011,27
server,encrypt,56,15558,5
client,decrypt,56,15558,5
client,encrypt,56,12965,5
server,decrypt,56,15558,5
server,encrypt,56,15558,5
client,decrypt,56,15558,5
client,encrypt,56,12965,5
